Instrument,expiration,strike_price,type,volume,open_interest,rho,theta,vega,gamma,net_delta,delta,last_price,bid_iv,bid_price,market_price,ask_price,ask_iv,underlying_price,tau,days,payoff
BTC,10-May-24,44000,C,,,0.38006,,,,,1,,,0.298,0.2997,0.3025,694.79,62836,0.002739726,1,18836
BTC,10-May-24,44000,P,5,228.7,,,,,,,0.0001,,,,0.0001,441.99,62836,0.002739726,1,0
BTC,10-May-24,48000,C,,0.3,0.41461,,,,,1,0.2345,,0.2335,0.2361,0.2385,535.82,62836,0.002739726,1,14836
BTC,10-May-24,48000,P,,318.4,,,,,,,0.0001,,,,0.0001,342.1,62836,0.002739726,1,0
BTC,10-May-24,50000,C,,0.5,0.43189,,,,,1,0.23,,0.202,0.2042,0.2075,496.79,62836,0.002739726,1,12836
BTC,10-May-24,50000,P,1.5,664.7,,,,,,,0.0001,,,,0.0001,294.61,62836,0.002739726,1,0
BTC,10-May-24,52000,C,,1.4,0.44916,0.00003,,,,1,0.1865,,0.17,0.1724,0.175,406.29,62836,0.002739726,1,10836
BTC,10-May-24,52000,P,26.1,420.7,,,,,,,0.0001,,,,0.0001,248.46,62836,0.002739726,1,0
BTC,10-May-24,54000,C,,,0.46644,0.01011,0.00018,,,1,0.1545,,0.138,0.1406,0.144,362.44,62836,0.002739726,1,8836
BTC,10-May-24,54000,P,42.5,558.2,,0.00084,0.00018,,,,0.0001,,,,0.0001,203.41,62836,0.002739726,1,0
BTC,10-May-24,55000,C,,0.2,0.47506,0.11242,0.002,,,0.99997,0.15,,0.122,0.1247,0.128,326,62836,0.002739726,1,7836
BTC,10-May-24,55000,P,4.8,325,0.00001,0.01178,0.002,,,0.00003,0.0001,,,,0.0001,181.21,62836,0.002739726,1,0
BTC,10-May-24,56000,C,,14,0.48363,0.58277,0.01071,,,0.99985,0.1235,,0.106,0.1087,0.1115,278.11,62836,0.002739726,1,6836
BTC,10-May-24,56000,P,32.1,366.1,0.00008,0.07432,0.01071,,,0.00015,0.0001,,,,0.0001,159.18,62836,0.002739726,1,0
BTC,10-May-24,57000,C,,53.8,0.49188,2.89352,0.05444,,,0.99913,0.0835,,0.0905,0.0928,0.0955,242.87,62836,0.002739726,1,5836
BTC,10-May-24,57000,P,64.1,586.1,0.00047,0.46793,0.05444,,,0.00087,0.0001,,,,0.0001,137.25,62836,0.002739726,1,0
BTC,10-May-24,58000,C,3,156.7,0.50044,2.7433,0.06203,,,0.999,0.0525,,0.074,0.0769,0.0795,207.69,62836,0.002739726,1,4836
BTC,10-May-24,58000,P,141.8,530,0.00055,0.45259,0.06203,,,0.001,0.0001,,,,0.0001,115.37,62836,0.002739726,1,0
BTC,10-May-24,59000,C,1.3,84.4,0.50572,16.07807,0.36613,0.00001,,0.99286,0.0595,,0.058,0.0611,0.0645,190.06,62836,0.002739726,1,3836
BTC,10-May-24,59000,P,184.4,277.3,0.00391,3.808,0.36613,0.00001,,0.00714,0.0001,93.43,0.0001,0.0001,0.0002,102.89,62836,0.002739726,1,0
BTC,10-May-24,60000,C,6.4,295.5,0.50619,38.07428,0.97148,0.00004,,0.97794,0.0475,,0.0445,0.0453,0.047,127.7,62836,0.002739726,1,2836
BTC,10-May-24,60000,P,256,581.3,0.01208,11.93198,0.97148,0.00004,,0.02206,0.0002,71.3,0.0001,0.0002,0.0003,84.5,62836,0.002739726,1,0
BTC,10-May-24,60500,C,8.4,8.4,0.50991,32.8623,1.0129,0.00005,,0.97682,0.0201,,0.035,0.0373,0.041,139.76,62836,0.002739726,1,2336
BTC,10-May-24,60500,P,0.6,0.5,0.01267,10.42613,1.0129,0.00005,,0.02318,0.0005,60.08,0.0001,0.0002,0.0003,71.72,62836,0.002739726,1,0
BTC,10-May-24,61000,C,65.6,276.6,0.50315,50.27818,1.70184,0.00008,,0.95654,0.0305,,0.029,0.0295,0.0325,113.16,62836,0.002739726,1,1836
BTC,10-May-24,61000,P,253.6,528.4,0.02375,19.44421,1.70184,0.00008,,0.04346,0.0003,54.49,0.0002,0.0003,0.0003,58.7,62836,0.002739726,1,0
BTC,10-May-24,61500,C,108.8,69.8,0.49442,58.93368,2.4077,0.00014,,0.93261,0.025,,0.0185,0.0216,0.0245,92.62,62836,0.002739726,1,1336
BTC,10-May-24,61500,P,62.8,198.5,0.0368,26.81703,2.4077,0.00014,,0.06739,0.0004,45.3,0.0003,0.0004,0.0005,50.75,62836,0.002739726,1,0
BTC,10-May-24,62000,C,194.7,335.6,0.45025,99.72433,4.42009,0.00029,,0.84394,0.0145,30.55,0.0135,0.0143,0.016,65.51,62836,0.002739726,1,836
BTC,10-May-24,62000,P,164.1,423,0.08529,68.19181,4.42009,0.00029,,0.15606,0.0012,40.79,0.0008,0.0011,0.0012,46.68,62836,0.002739726,1,0
BTC,10-May-24,62500,C,161.7,151.9,0.35925,138.72307,6.6885,0.00047,,0.66987,0.0135,32.47,0.007,0.0079,0.009,51.31,62836,0.002739726,1,336
BTC,10-May-24,62500,P,70,125.1,0.18061,138.72307,6.6885,0.00047,,0.33013,0.0025,38.03,0.0023,0.0027,0.0028,42.75,62836,0.002739726,1,0
BTC,10-May-24,63000,C,502.7,810.5,0.22284,147.43128,7.19578,0.00051,,0.41418,0.006,37.6,0.0032,0.0036,0.0042,46.32,62836,0.002739726,1,0
BTC,10-May-24,63000,P,14.1,245.6,0.32134,147.43128,7.19578,0.00051,,0.58582,0.0055,34.19,0.0055,0.0063,0.0065,42.95,62836,0.002739726,1,164
BTC,10-May-24,63500,C,109.5,151.2,0.11205,94.94382,5.29148,0.00035,,0.20796,0.0018,41.44,0.0013,0.0015,0.0018,47.34,62836,0.002739726,1,0
BTC,10-May-24,63500,P,10.5,59.3,0.43645,116.25052,5.29148,0.00035,,0.79204,0.01,,0.009,0.0121,0.0125,47.96,62836,0.002739726,1,664
BTC,10-May-24,64000,C,301.8,794.8,0.05463,43.37512,3.27243,0.0002,,0.10134,0.0008,45.08,0.0005,0.0007,0.0009,52.78,62836,0.002739726,1,0
BTC,10-May-24,64000,P,72.3,312.1,0.49819,80.09715,3.27243,0.0002,,0.89866,0.012,,0.016,0.0193,0.0215,79.58,62836,0.002739726,1,1164
BTC,10-May-24,64500,C,23.4,83.7,0.03067,25.08904,2.1101,0.00011,,0.0569,0.0004,52.97,0.0003,0.0004,0.0007,63.81,62836,0.002739726,1,0
BTC,10-May-24,64500,P,1,22.7,0.52647,59.20162,2.1101,0.00011,,0.9431,0.049,,0.024,0.0269,0.0295,98.8,62836,0.002739726,1,1664
BTC,10-May-24,65000,C,67.4,802.2,0.01985,17.3638,1.48841,0.00007,,0.03685,0.0002,60.73,0.0002,0.0003,0.0005,72.13,62836,0.002739726,1,0
BTC,10-May-24,65000,P,2.5,96.7,0.5416,47.79607,1.48841,0.00007,,0.96315,0.0395,,0.032,0.0348,0.0375,116.92,62836,0.002739726,1,2164
BTC,10-May-24,65500,C,20.7,86.1,0.01217,10.89715,0.99142,0.00004,,0.0226,0.0002,64.86,0.0001,0.0002,0.0004,81.17,62836,0.002739726,1,0
BTC,10-May-24,65500,P,,3.8,0.5536,34.8526,0.99142,0.00004,,0.9774,0.049,,0.0395,0.0426,0.045,126.73,62836,0.002739726,1,2664
BTC,10-May-24,66000,C,74.5,663.7,0.00656,5.74368,0.58443,0.00002,,0.01218,0.0003,,,0.0001,0.0003,88.45,62836,0.002739726,1,0
BTC,10-May-24,66000,P,,72.3,0.56353,21.6262,0.58443,0.00002,,0.98782,0.063,,0.0475,0.0505,0.053,143.02,62836,0.002739726,1,3164
BTC,10-May-24,66500,C,12.6,41.5,0.00313,2.61052,0.30503,0.00001,,0.00581,0.0001,,,,0.0003,99.55,62836,0.002739726,1,0
BTC,10-May-24,66500,P,,1.2,0.57128,11.61801,0.30503,0.00001,,0.99419,0.0475,,0.0555,0.0584,0.061,158.83,62836,0.002739726,1,3664
BTC,10-May-24,67000,C,32.7,453.8,0.00161,1.31711,0.16861,0.00001,,0.00299,0.0001,,,,0.0003,110.39,62836,0.002739726,1,0
BTC,10-May-24,67000,P,0.6,41,0.57712,6.67618,0.16861,0.00001,,0.99701,0.085,,0.0625,0.0663,0.0695,182.99,62836,0.002739726,1,4164
BTC,10-May-24,68000,C,63.3,707.3,0.00333,3.92523,0.32345,0.00001,,0.0062,0.0001,,,0.0001,0.0001,113.05,62836,0.002739726,1,0
BTC,10-May-24,68000,P,1,27.9,0.58403,17.29044,0.32345,0.00001,,0.9938,0.0965,,0.0785,0.0823,0.085,204.12,62836,0.002739726,1,5164
BTC,10-May-24,69000,C,2.4,479.1,0.00081,0.84865,0.09087,,,0.00151,0.0001,,,,0.0001,131.09,62836,0.002739726,1,0
BTC,10-May-24,69000,P,1.2,53.6,0.59519,4.85776,0.09087,,,0.99849,0.1215,,0.095,0.0982,0.1015,242.89,62836,0.002739726,1,6164
BTC,10-May-24,70000,C,10,1094,0.00017,0.15616,0.02109,,,0.00031,0.0001,,,,0.0001,148.58,62836,0.002739726,1,0
BTC,10-May-24,70000,P,,15.5,0.60448,1.12767,0.02109,,,0.99969,0.1345,,0.111,0.1141,0.117,260.8,62836,0.002739726,1,7164
BTC,10-May-24,71000,C,10.7,236.8,0.00003,0.02484,0.00412,,,0.00005,0.0001,,,,0.0002,180.04,62836,0.002739726,1,0
BTC,10-May-24,71000,P,,6,0.61325,0.2206,0.00412,,,0.99995,0.1965,,0.1255,0.13,0.133,287.94,62836,0.002739726,1,8164
BTC,10-May-24,72000,C,1,522.3,,0.00334,0.00067,,,0.00001,0.0001,,,,0.0002,197.73,62836,0.002739726,1,0
BTC,10-May-24,72000,P,,10,0.62191,0.03576,0.00067,,,0.99999,0.126,,0.1415,0.1459,0.149,314.4,62836,0.002739726,1,9164
BTC,10-May-24,74000,C,1,520.8,,0.00004,0.00001,,,,0.0001,,,,0.0002,231.79,62836,0.002739726,1,0
BTC,10-May-24,74000,P,,10,0.63919,0.00057,0.00001,,,1,0.167,,0.173,0.1777,0.181,365.58,62836,0.002739726,1,11164
BTC,10-May-24,76000,C,2,530.5,,,,,,,0.0001,,,,0.0001,244.72,62836,0.002739726,1,0
BTC,10-May-24,76000,P,,1,0.65647,,,,,1,0.332,,0.206,0.2096,0.2125,401.06,62836,0.002739726,1,13164
BTC,10-May-24,78000,C,,374.9,,,,,,,0.0001,,,,0.0001,274.09,62836,0.002739726,1,0
BTC,10-May-24,78000,P,,,0.67374,,,,,1,,,0.238,0.2414,0.2445,448,62836,0.002739726,1,15164
BTC,10-May-24,80000,C,,359.2,,,,,,,0.0001,,,,0.0001,302.37,62836,0.002739726,1,0
BTC,10-May-24,80000,P,,,0.69102,,,,,1,,,0.2685,0.2732,0.2765,493.48,62836,0.002739726,1,17164
BTC,10-May-24,82000,C,,181,,,,,,,0.0002,,,,0.0001,329.66,62836,0.002739726,1,0
BTC,10-May-24,82000,P,,,0.7083,,,,,1,,,0.3015,0.3051,0.3085,537.64,62836,0.002739726,1,19164
BTC,10-May-24,84000,C,,152.1,,,,,,,0.0001,,,,0.0001,356.03,62836,0.002739726,1,0
BTC,10-May-24,84000,P,,,0.72557,,,,,1,,,0.333,0.3369,0.3405,580.59,62836,0.002739726,1,21164
BTC,10-May-24,86000,C,,54.9,,,,,,,0.0001,,,,0.0001,381.56,62836,0.002739726,1,0
BTC,10-May-24,86000,P,,,0.74285,,,,,1,,,0.3635,0.3687,0.3725,622.42,62836,0.002739726,1,23164
BTC,10-May-24,88000,C,0.5,136,,,,,,,0.0001,,,,0.0001,406.3,62836,0.002739726,1,0
